13                                                                                                  ,Sauron                                                                                              ,JACKSON                                                                                             ,           55,            11,          30,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1859,The Art of Fun-Having                                                                               ,MS
761                                                                                                 ,Biara                                                                                               ,WILLIAMS                                                                                            ,          316,             8,          29,female                                                                                              ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1909,Microbiology                                                                                        ,MA
762                                                                                                 ,Sarah                                                                                               ,WHITE                                                                                               ,          246,             5,          25,female                                                                                              ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1957,Microbiology                                                                                        ,BA
763                                                                                                 ,Arantir                                                                                             ,JACKSON                                                                                             ,          511,             8,          20,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1865,Microbiology                                                                                        ,BS
763                                                                                                 ,Arantir                                                                                             ,JACKSON                                                                                             ,          511,             8,          20,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1937,CSE                                                                                                 ,MA
763                                                                                                 ,Arantir                                                                                             ,JACKSON                                                                                             ,          511,             8,          20,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Rivendell                                                                                           ,Rivendell                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1929,Baby Stylist                                                                                        ,MSE
764                                                                                                 ,Denethor                                                                                            ,GARCIA                                                                                              ,          230,             7,           4,male                                                                                                ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1863,BME                                                                                                 ,MS
764                                                                                                 ,Denethor                                                                                            ,GARCIA                                                                                              ,          230,             7,           4,male                                                                                                ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1955,BME                                                                                                 ,BS
764                                                                                                 ,Denethor                                                                                            ,GARCIA                                                                                              ,          230,             7,           4,male                                                                                                ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1935,ME                                                                                                  ,MA
765                                                                                                 ,Eowyn                                                                                               ,ANDERSON                                                                                            ,           25,             8,          26,female                                                                                              ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1982,Material Science                                                                                    ,MSE
765                                                                                                 ,Eowyn                                                                                               ,ANDERSON                                                                                            ,           25,             8,          26,female                                                                                              ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1974,Material Science                                                                                    ,BA
765                                                                                                 ,Eowyn                                                                                               ,ANDERSON                                                                                            ,           25,             8,          26,female                                                                                              ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1844,ChemE                                                                                               ,MSE
765                                                                                                 ,Eowyn                                                                                               ,ANDERSON                                                                                            ,           25,             8,          26,female                                                                                              ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Minas Tirith                                                                                        ,Gondor                                                                                              ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1944,ME                                                                                                  ,MSE
766                                                                                                 ,Eowyn                                                                                               ,MARTIN                                                                                              ,          193,             8,          18,female                                                                                              ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1937,Material Science                                                                                    ,BA
766                                                                                                 ,Eowyn                                                                                               ,MARTIN                                                                                              ,          193,             8,          18,female                                                                                              ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1984,The Art of Fun-Having                                                                               ,MSE
766                                                                                                 ,Eowyn                                                                                               ,MARTIN                                                                                              ,          193,             8,          18,female                                                                                              ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1962,BME                                                                                                 ,BA
766                                                                                                 ,Eowyn                                                                                               ,MARTIN                                                                                              ,          193,             8,          18,female                                                                                              ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1863,ME                                                                                                  ,MS
767                                                                                                 ,Aragorn                                                                                             ,JONES                                                                                               ,          547,             8,           8,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1892,Physics                                                                                             ,MA
767                                                                                                 ,Aragorn                                                                                             ,JONES                                                                                               ,          547,             8,           8,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1829,Microbiology                                                                                        ,MA
767                                                                                                 ,Aragorn                                                                                             ,JONES                                                                                               ,          547,             8,           8,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,University of Pennsylvania                                                                          ,        1930,ME                                                                                                  ,MA
767                                                                                                 ,Aragorn                                                                                             ,JONES                                                                                               ,          547,             8,           8,male                                                                                                ,Helm's Deep                                                                                         ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1806,The Art of Fun-Having                                                                               ,MS
768                                                                                                 ,Shadya                                                                                              ,WHITE                                                                                               ,          882,             3,          16,female                                                                                              ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1973,Microbiology                                                                                        ,MSE
768                                                                                                 ,Shadya                                                                                              ,WHITE                                                                                               ,          882,             3,          16,female                                                                                              ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,Bucklebury                                                                                          ,The Shire                                                                                           ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1828,Material Science                                                                                    ,MS
769                                                                                                 ,Sauron                                                                                              ,DAVIS                                                                                               ,          219,             3,           5,male                                                                                                ,Calembel                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Pelargir                                                                                            ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1908,The Art of Fun-Having                                                                               ,BA
770                                                                                                 ,Galadriel                                                                                           ,WHITE                                                                                               ,           98,             1,          11,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1833,ME                                                                                                  ,BA
770                                                                                                 ,Galadriel                                                                                           ,WHITE                                                                                               ,           98,             1,          11,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1935,CSE                                                                                                 ,BA
770                                                                                                 ,Galadriel                                                                                           ,WHITE                                                                                               ,           98,             1,          11,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Yale University                                                                                     ,        1890,The Art of Fun-Having                                                                               ,BS
770                                                                                                 ,Galadriel                                                                                           ,WHITE                                                                                               ,           98,             1,          11,female                                                                                              ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1867,Plant Biology                                                                                       ,MSE
771                                                                                                 ,Frodo                                                                                               ,WILLIAMS                                                                                            ,           55,            12,           7,male                                                                                                ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Cornell University                                                                                  ,        1897,Cell Biology                                                                                        ,BA
772                                                                                                 ,Saruman                                                                                             ,WILSON                                                                                              ,          911,             3,           2,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1857,Cell Biology                                                                                        ,BA
772                                                                                                 ,Saruman                                                                                             ,WILSON                                                                                              ,          911,             3,           2,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1875,BME                                                                                                 ,BS
772                                                                                                 ,Saruman                                                                                             ,WILSON                                                                                              ,          911,             3,           2,male                                                                                                ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Harvard University                                                                                  ,        1879,Scocial Science                                                                                     ,BS
773                                                                                                 ,Agrael                                                                                              ,TAYLOR                                                                                              ,          704,             8,          15,male                                                                                                ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Columbia University                                                                                 ,        1959,ECE                                                                                                 ,MA
774                                                                                                 ,Sarah                                                                                               ,MOORE                                                                                               ,          727,            12,          21,female                                                                                              ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,Linhir                                                                                              ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1821,BME                                                                                                 ,BS
775                                                                                                 ,Meriadoc                                                                                            ,SMITH                                                                                               ,          628,             7,          22,male                                                                                                ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1976,ChemE                                                                                               ,BA
775                                                                                                 ,Meriadoc                                                                                            ,SMITH                                                                                               ,          628,             7,          22,male                                                                                                ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Brown University                                                                                    ,        1820,Cell Biology                                                                                        ,MS
775                                                                                                 ,Meriadoc                                                                                            ,SMITH                                                                                               ,          628,             7,          22,male                                                                                                ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,Osgiliath                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,Dartmouth College                                                                                   ,        1860,Baby Stylist                                                                                        ,MSE
